VerbNet class,Example members
spatial_configuration-47.6,"balance, bend, bow, crouch, dangle, droop, flop, fly"
split-23.2,"blow, break, cut, draw, hack, hew, kick, knock"
spray-9.7,
spray-9.7-1,"brush, drizzle, hang, plaster, pump, rub, scatter, seed"
spray-9.7-1-1,"cram, crowd, jam, pack, pile"
spray-9.7-2,"drape, load, dab, daub, mound, dust, heap, slather"
stalk-35.3,"smell, stalk, taste, track"
steal-10.5,"abduct, annex, cabbage, capture, confiscate, cop, emancipate, embezzle"
stimulus_subject-30.4,"feel, look, smell, sound, taste"
stop-55.4,"terminate, halt, repeat"
stop-55.4-1,"cease, end, finish, stop"
substance_emission-43.4,"belch, bleed, bubble, dribble, drip, drool, emanate, exude"
succeed-74,
succeed-74-1,succeed
succeed-74-1-1,manage
succeed-74-2,fail
suffocate-40.7,"asphyxiate, choke, drown, starve, stifle, suffocate"
suspect-81,"suspect, accuse, condemn"
swarm-47.5.1,
swarm-47.5.1-1,"bustle, crawl, creep, hop, run, swarm, swim, teem"
swarm-47.5.1-2,throng
swarm-47.5.1-2-1,abound
swat-18.2,"bite, claw, paw, peck, punch, scratch, slug, stab"
talk-37.5,"speak, talk"
tape-22.4,"anchor, band, belt, bolt, bracket, buckle, button, cement"
tape-22.4-1,"clamp, clip, clasp, gum, paste"
tell-37.2,tell
throw-17.1,discard
throw-17.1-1,"bash, bat, bunt, chuck, fire, flick, fling, flip"
throw-17.1-1-1,"catapult, kick, throw, tip, toss"
tingle-40.8.2,"ache, burn, hum, pound, prickle, pucker, reel, smart"
touch-20,
touch-20-1,"caress, fondle, graze, kiss, lick, nudge, pat, peck"
transcribe-25.4,"chronicle, copy, film, forge, imitate, microfilm, photocopy, photograph"
transfer_mesg-37.1.1,"cite, demonstrate, elucidate, explain, explicate, expound, justify, narrate"
transfer_mesg-37.1.1-1,"dictate, quote, read"
transfer_mesg-37.1.1-1-1,"show, teach, tell, write"
try-61,"try, attempt, intend"
turn-26.6.1,"alter, deform, metamorphose, mutate, transform, translate, transmute"
turn-26.6.1-1,"change, convert, turn"
urge-58,"ask, urge, persuade, implore"
vehicle-51.4.1,"balloon, boat, bobsled, bus, cab, caravan, chariot, coach"
vehicle-51.4.1-1,"bicycle, bike, canoe, cycle, kayak, motorbike, motorcycle, raft"
waltz-51.5,"boogie, bop, cancan, clog, conga, dance, foxtrot, jig"
want-32.1,"covet, crave, desire, fancy, need, want"
want-32.1-1,"enjoy, crave"
want-32.1-1-1,"want, need, like, prefer, desire"
weather-57,"blow, clear, drizzle, fog, freeze, gust, hail, howl"
weekend-56,"December, holiday, honeymoon, overnight, sojourn, summer, vacation, weekend"
wink-40.3.1,wag
wink-40.3.1-1,"beckon, blink, clap, gesture, nod, point, shrug, squint"
wipe_instr-10.4.2,"file, filter, hoover, iron, plough, sandpaper, sponge, towel"
wipe_instr-10.4.2-1,"brush, comb, hose, mop, plow, rake, shear, shovel"
wipe_manner-10.4.1,"buff, distill, expunge, flush, leach, polish, purge, shave"
wipe_manner-10.4.1-1,"bail, dab, dust, erase, lick, pluck, prune, rinse"
wish-62,"expect, wish, hope, intend, mean, plan, propose, think"
withdraw-82,
withdraw-82-1,"back_out, chicken_out, get_out, wriggle_out, bow_out, pull_out"
withdraw-82-2,"get_away, back_off"
withdraw-82-3,"withdraw, retreat, pull_away, retire"
